100807,100249
100073,100658
100930,100272
100544,100878
100923,100709
100440,100165
100492,100042
100987,100503
100327,100729
100840,100612
100303,100169
100709,100157
100560,100933
100099,100278
100816,100335
100097,100826
100512,100267
100810,100633
100979,100149
100579,100821
100967,100672
100393,100336
100485,100745
100228,100091
100194,100357
100001,100153
100708,100944
100668,100490
100124,100196
100530,100903
100722,100666
100549,100024
100801,100853
100977,100408
100228,100933
100298,100981
100635,100013
100865,100814
100063,100536
100425,100669
100115,100094
100629,100501
100517,100195
100105,100404
100451,100298
100188,100123
100505,100882
100752,100566
100716,100337
100438,100144
100501,100897
100871,100828
100137,100358
100177,100397
100294,100904
100609,100231
100745,100175
100635,100298
100142,100399
100968,100412
100260,100557
100594,100008
100395,100968
100113,100530
100006,100962
100942,100365
100082,100852
100767,100821
100695,100712
100671,100901
100590,100831
100738,100057
100616,100790
100640,100679
100335,100006
100972,100098
100095,100319
100454,100223
100289,100760
100905,100126
100123,100506
100813,100770
100238,100094
100220,100844
100366,100534
100226,100394
100363,100738
100844,100590
100550,100159
100623,100947
100385,100217
100272,100539
100247,100385
100496,100885
100623,100420
100144,100968
100735,100915
100625,100534
100042,100011
100679,100152
100244,100295
100818,100396
100692,100815
100991,100033
100669,100397
100553,100547
100825,100210
100662,100211
100808,100377
100761,100625
100335,100868
100995,100776
100767,100439
100874,100331
100556,100301
100872,100560
100094,100984
100755,100789
100407,100015
100193,100769
100680,100455
100855,100506
100963,100502
100676,100108
100249,100331
100844,100638
100808,100997
100651,100849
100203,100731
100531,100014
100419,100775
100009,100180
100929,100223
100054,100260
100737,100545
100317,100525
100200,100256
100564,100597
100648,100704
100550,100150
100976,100412
100554,100797
100504,100381
100748,100065
100378,100699
100209,100129
100553,100483
100447,100607
100773,100322
100305,100176
100053,100224
100630,100366
100400,100444
100370,100285
100016,100898
100155,100133
100557,100576
100178,100266
100357,100711
100878,100614
100819,100737
100133,100591
100720,100762
100633,100197
100031,100588
100589,100873
100877,100304
100358,100200
100254,100960
100915,100947
100480,100730
100955,100546
100107,100238
100000,100926
100035,100857
100113,100114
100593,100360
100354,100418
100357,100585
100729,100015
100563,100102
100917,100643
100419,100967
100747,100269
100395,100303
100473,100103
100748,100385
100658,100459
100406,100930
100824,100132
100973,100603
100897,100920
100950,100231
100480,100203
100900,100520
100533,100258
100003,100676
100950,100934
100780,100879
100832,100574
100549,100542
100249,100771
100310,100879
100983,100970
100040,100723
100650,100971
100229,100318
100746,100299
100230,100621
100776,100124
100244,100958
100696,100771
100064,100560
100598,100751
100940,100503
100551,100801
100205,100080
100418,100274
100649,100413
100320,100025
100012,100783
100788,100117
100008,100550
100324,100195
100257,100511
100690,100666
100410,100593
100553,100565
100960,100742
100403,100352
100307,100141
100910,100200
100799,100127
100171,100787
100414,100625
100641,100517
100348,100842
100315,100974
100445,100373
100220,100911
100239,100054
100305,100929
100253,100189
100166,100356
100304,100860
100898,100592
100720,100116
100580,100867
100352,100939
100698,100901
100811,100616
100891,100671
100728,100671
100661,100045
100120,100240
100158,100453
100627,100350
100711,100563
100594,100533
100727,100827
100795,100531
100442,100516
100006,100515
100924,100601
100097,100661
100103,100324
100108,100936
100281,100015
100710,100216
100905,100973
100781,100720
100791,100169
100865,100827
100536,100728
100125,100384
100167,100949
100476,100046
100576,100666
100467,100520
100384,100991
100210,100258
100211,100744
100518,100718
100934,100825
100767,100689
100818,100014
100825,100918
100028,100029
100034,100727
100240,100754
100540,100396
100935,100083
100048,100865
100011,100252
100064,100876
100237,100675
100245,100710
100415,100192
100710,100747
100037,100299
100447,100715
100693,100579
100129,100164
100979,100501
100525,100289
100958,100033
100800,100089
100670,100217
100846,100038
100543,100338
100936,100321
100719,100496
100247,100788
100359,100987
100035,100235
100912,100684
100989,100784
